Time,N_QTN
"2021-11-16/04:44:51",56.3974
"2021-11-16/04:44:54",68.9118
"2021-11-16/04:44:58",84.4217
"2021-11-16/04:45:01",66.3910
"2021-11-16/04:45:05",84.0347
"2021-11-16/04:45:08",55.0453
"2021-11-16/04:45:12",50.4614
"2021-11-16/04:45:15",79.7259
"2021-11-16/04:45:18",110.085
"2021-11-16/04:45:22",82.7771
"2021-11-16/04:45:25",70.8182
"2021-11-16/04:45:29",55.2186
"2021-11-16/04:45:32",54.0322
"2021-11-16/04:45:36",65.2776
"2021-11-16/04:45:39",85.3800
"2021-11-16/04:45:43",67.9833
"2021-11-16/04:45:46",54.7275
"2021-11-16/04:45:50",66.9262
"2021-11-16/04:45:53",54.5516
"2021-11-16/04:45:57",54.8386
"2021-11-16/04:46:00",55.8104
"2021-11-16/04:46:04",55.1121
"2021-11-16/04:46:07",66.4489
"2021-11-16/04:46:11",69.3605
"2021-11-16/04:46:14",70.1817
"2021-11-16/04:46:18",50.7074
"2021-11-16/04:46:21",70.3692
"2021-11-16/04:46:25",53.8773
"2021-11-16/04:46:28",83.0716
"2021-11-16/04:46:32",68.5953
"2021-11-16/04:46:35",50.8496
"2021-11-16/04:46:39",68.4654
"2021-11-16/04:46:42",70.5854
"2021-11-16/04:46:46",82.5059
"2021-11-16/04:46:49",84.2724
"2021-11-16/04:46:53",66.0772
"2021-11-16/04:46:56",55.8492
"2021-11-16/04:47:00",53.4383
"2021-11-16/04:47:03",66.3325
"2021-11-16/04:47:07",86.5969
"2021-11-16/04:47:10",84.6902
"2021-11-16/04:47:14",54.9601
"2021-11-16/04:47:17",54.8325
"2021-11-16/04:47:21",83.0159
"2021-11-16/04:47:24",55.3010
"2021-11-16/04:47:28",53.2729
"2021-11-16/04:47:31",71.8249
"2021-11-16/04:47:35",63.3648
"2021-11-16/04:47:38",70.5304
"2021-11-16/04:47:42",71.2797
"2021-11-16/04:47:45",68.3731
"2021-11-16/04:47:49",55.0365
"2021-11-16/04:47:52",54.8718
"2021-11-16/04:47:56",70.7864
"2021-11-16/04:47:59",83.9264
"2021-11-16/04:48:03",68.8029
"2021-11-16/04:48:06",70.7081
"2021-11-16/04:48:10",79.8246
"2021-11-16/04:48:13",66.8389
"2021-11-16/04:48:17",54.6086
"2021-11-16/04:48:20",68.0937
"2021-11-16/04:48:24",97.5349
"2021-11-16/04:48:27",82.2003
"2021-11-16/04:48:31",67.4079
"2021-11-16/04:48:34",66.3420
"2021-11-16/04:48:38",67.1637
"2021-11-16/04:48:41",67.8461
"2021-11-16/04:48:45",51.5417
"2021-11-16/04:48:48",53.2118
"2021-11-16/04:48:52",68.0358
"2021-11-16/04:48:55",53.9681
"2021-11-16/04:48:59",70.5388
"2021-11-16/04:49:02",82.0298
"2021-11-16/04:49:06",68.4733
"2021-11-16/04:49:09",87.8599
"2021-11-16/04:49:13",70.7469
"2021-11-16/04:49:16",55.3015
"2021-11-16/04:49:20",84.4217
"2021-11-16/04:49:23",84.1752
